종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
011690,와이투솔루션,IT,550.0,0.0,1.16,0.0,0.0,0.0,301.0,4.0,-7.0,-1.9,-2.8,0.0,96361.0
097780,에스맥,IT,5110.0,0.0,0.43,0.0,0.0,0.0,489.0,-1.0,-107.0,-4.3,-6.4,0.9,96198.0
241790,오션브릿지,IT,8618.0,9.42,1.48,1354.0,2.35,300.0,482.0,78.0,52.0,9.5,12.9,1.34,95650.0
052330,코텍,IT,20215.0,0.0,0.48,0.0,0.0,0.0,1135.0,62.0,112.0,6.8,8.9,0.62,95470.0
082850,우리바이오,IT,3387.0,4.41,0.98,750.0,0.0,0.0,3953.0,149.0,159.0,7.7,21.6,1.17,95048.0
040910,아이씨디,IT,10289.0,173.11,0.76,45.0,2.57,200.0,469.0,28.0,70.0,3.3,4.6,1.03,94289.0
008700,아남전자,IT,1016.0,10.49,1.78,172.0,0.0,0.0,1251.0,56.0,43.0,6.2,21.8,1.27,93271.0
125210,아모그린텍,IT,2548.0,96.32,6.16,163.0,0.0,0.0,335.0,20.0,35.0,9.0,25.2,1.23,93240.0
078070,유비쿼스홀딩스,IT,13634.0,10.79,0.96,1214.0,2.67,350.0,413.0,80.0,107.0,8.4,8.0,1.02,93072.0
136540,윈스,IT,12698.0,7.51,0.99,1671.0,3.98,500.0,230.0,48.0,44.0,6.9,8.1,0.66,92217.0
264450,유비쿼스,IT,12449.0,5.23,1.18,2812.0,3.81,560.0,357.0,70.0,62.0,11.9,15.3,0.92,88861.0
144960,뉴파워프라즈마,IT,4943.0,6.32,0.72,562.0,1.41,50.0,851.0,34.0,43.0,3.2,10.3,1.11,88412.0
068790,DMS,IT,10824.0,3.47,0.43,1354.0,2.13,100.0,773.0,138.0,118.0,10.1,14.0,1.12,87868.0
005680,삼영전자,IT,25588.0,11.21,0.37,851.0,3.14,300.0,676.0,78.0,73.0,4.9,5.2,0.82,87768.0
238090,앤디포스,IT,6999.0,6.73,0.73,764.0,0.0,0.0,180.0,-19.0,-66.0,-4.6,-6.3,1.06,87510.0
171090,선익시스템,IT,9655.0,0.0,2.18,0.0,0.0,0.0,202.0,23.0,-60.0,-14.2,-19.3,1.57,87234.0
072770,율호,IT,956.0,35.71,1.83,49.0,0.0,0.0,265.0,12.0,-9.0,-1.1,-1.3,0.82,86822.0
058970,엠로,IT,3833.0,23.93,3.51,562.0,0.0,0.0,151.0,18.0,13.0,10.3,13.5,0.82,85958.0
065680,우주일렉트로,IT,25889.0,7.93,0.61,2005.0,2.52,400.0,501.0,61.0,50.0,7.5,9.7,0.85,85295.0
003160,디아이,IT,5534.0,7.45,0.8,592.0,4.54,200.0,603.0,55.0,45.0,7.0,11.8,0.92,84730.0
077360,덕산하이메탈,IT,6137.0,7.52,0.92,751.0,0.0,0.0,271.0,6.0,18.0,6.7,8.3,1.15,84717.0
203650,드림시큐리티,IT,1460.0,10.29,1.82,258.0,0.0,0.0,549.0,75.0,34.0,2.6,12.5,0.79,84646.0
086960,MDS테크,IT,13588.0,0.0,1.15,0.0,0.0,0.0,384.0,23.0,-40.0,-3.4,-4.0,1.2,84622.0
084730,팅크웨어,IT,14014.0,19.9,0.98,691.0,0.0,0.0,898.0,5.0,162.0,10.1,18.6,1.12,84578.0
040350,큐로컴,IT,381.0,0.0,2.1,0.0,0.0,0.0,14.0,-19.0,-11.0,-8.3,-7.9,0.98,83751.0
049550,잉크테크,IT,2985.0,56.81,1.73,91.0,0.0,0.0,159.0,16.0,12.0,5.3,9.0,0.6,83119.0
151910,SBW생명과학,IT,217.0,0.0,7.7,0.0,0.0,0.0,132.0,-1.0,-92.0,-16.0,-48.1,0.68,82828.0
078890,가온미디어,IT,11854.0,4.44,0.52,1391.0,1.62,100.0,1661.0,17.0,57.0,7.8,17.2,1.4,82734.0
141000,비아트론,IT,13359.0,7.05,0.62,1175.0,1.21,100.0,198.0,28.0,67.0,7.9,9.7,1.07,81251.0
063570,한국전자금융,IT,5444.0,14.9,0.84,306.0,2.41,110.0,725.0,57.0,22.0,0.9,2.7,0.69,80971.0
049950,미래컴퍼니,IT,13548.0,26.7,1.65,837.0,0.45,100.0,355.0,71.0,106.0,29.3,41.3,0.88,80604.0
093190,빅솔론,IT,10580.0,5.3,0.8,1594.0,2.96,250.0,388.0,102.0,60.0,7.5,9.9,0.67,79659.0
056700,신화인터텍,IT,3461.0,83.33,0.94,39.0,0.0,0.0,432.0,11.0,13.0,1.7,3.1,1.37,79539.0
273640,와이엠텍,IT,4467.0,25.42,3.69,649.0,2.42,400.0,113.0,34.0,31.0,19.9,21.6,1.64,77804.0
066410,버킷스튜디오,IT,2485.0,1.33,0.65,1217.0,0.0,0.0,98.0,3.0,-482.0,-62.4,-148.1,0.82,77625.0
036010,아비코전자,IT,7933.0,34.3,1.21,279.0,0.73,70.0,456.0,59.0,41.0,9.9,13.5,1.31,77600.0
155650,와이엠씨,IT,4993.0,10.66,1.2,560.0,2.51,150.0,434.0,37.0,33.0,11.4,13.8,0.94,77510.0
196490,디에이테크놀로지,IT,3887.0,0.0,0.93,0.0,0.0,0.0,123.0,-59.0,2.0,-13.7,-21.7,0.41,77318.0
205100,엑셈,IT,2485.0,11.21,1.45,321.0,0.0,0.0,92.0,10.0,6.0,4.8,6.2,0.9,77276.0
352910,오비고,IT,2414.0,0.0,4.23,0.0,0.0,0.0,21.0,-20.0,-20.0,-17.3,-21.2,1.8,77087.0
082210,옵트론텍,IT,4354.0,0.0,0.95,0.0,0.0,0.0,497.0,-174.0,-152.0,-8.0,-25.5,1.51,76571.0
396270,넥스트칩,IT,2223.0,0.0,4.21,0.0,0.0,0.0,27.0,-67.0,-67.0,-68.4,-79.8,1.06896,76477.0
012030,DB,IT,2292.0,6.46,0.32,114.0,0.0,0.0,1049.0,26.0,33.0,4.7,6.6,0.99,75513.0
009470,삼화전기,IT,9852.0,7.23,1.56,2131.0,1.95,300.0,692.0,78.0,68.0,11.5,27.4,1.08,75371.0
094480,갤럭시아머니트리,IT,2784.0,0.0,1.79,0.0,0.91,45.0,263.0,18.0,6.0,1.6,4.6,1.4,74089.0
049080,기가레인,IT,785.0,26.94,1.68,49.0,0.0,0.0,115.0,-20.0,-6.0,-5.9,-9.3,1.39,73221.0
027580,상보,IT,963.0,36.13,1.5,40.0,0.0,0.0,294.0,9.0,19.0,4.9,10.9,0.89,72689.0
232680,라온테크,IT,1582.0,19.13,6.09,504.0,0.0,0.0,167.0,19.0,14.0,15.5,30.3,0.68,72189.0
092190,서울바이오시스,IT,4383.0,47.35,1.26,117.0,1.06,59.0,1165.0,-85.0,-127.0,-6.5,-27.5,0.95,71998.0
150900,파수,IT,2279.0,24.21,4.11,387.0,0.0,0.0,96.0,5.0,6.0,1.7,2.8,0.72,71953.0
053450,세코닉스,IT,6764.0,21.94,0.94,289.0,0.0,0.0,1207.0,24.0,14.0,2.0,6.0,1.05,71278.0
041460,한국전자인증,IT,2339.0,22.76,2.13,219.0,1.4,70.0,91.0,7.0,9.0,6.9,10.1,1.12,71036.0
