,Symbol,Name,Sector,Industry,Sales,Revenue,MarCap,PER,PBR,ROA,ROE,Volume,Price,Beta,DIVIDEND,cnn_score,total_score
39,AMGN,Amgen,Health Care,Biotechnology,0.0437464211174255,0.06589341447328133,0.04741332421638254,0.0152027027027027,0.01266642642174671,0.4067357512953368,0.5334610849056604,0.015070572128177197,0.053498587635356636,0.13368983957219252,0.3183153770812928,0.0,1.645693501549555
40,APH,Amphenol,Information Technology,Electronic Components,0.0191349502303259,0.017606980551910928,0.01589379788341699,0.021298083798083792,0.0015826945740360172,0.422279792746114,0.4482606132075472,0.012464503892702395,0.015792914295638918,0.32085561497326204,0.10088148873653281,0.0,1.396051434889571
41,ADI,Analog Devices,Information Technology,Semiconductors,0.017738313128082182,0.018811631710032438,0.029165177392034062,0.03573216073216073,0.00040176093033221977,0.31476683937823835,0.43101415094339623,0.009272086120752464,0.033940171703015054,0.29411764705882354,0.1890303623898139,0.0,1.3739903014866812
42,ANSS,Ansys,Information Technology,Application Software,0.0022220155653501833,0.004439139517677753,0.0071873688790812604,0.04204204204204203,0.0011103211165544983,0.3639896373056995,0.43492040094339623,0.0011965433354990933,0.05748601505718207,0.3342245989304813,,0.0,1.248818082692964
43,AON,Aon,Financials,Insurance Brokers,0.020003590379282354,0.014796127849627411,0.022475096738100046,0.03491884741884741,0.02216746369542139,0.32512953367875647,0.5126768867924528,0.0015014574664891807,0.06678760013797995,0.22459893048128343,0.07247796278158669,0.0,1.3175334974198272
44,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0.01596696851060235,0.030757755694737383,0.003395546162333525,0.0012333762333762328,0.005561345241689636,0.5738341968911918,0.0,0.04145863508299139,0.007297016304308497,1.0,0.12047012732615084,0.5,2.2999749674473815
45,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.6588799038568645,0.9999999999999999,0.9999999999999999,0.02134277134277134,0.010920592560848518,0.6308290155440415,0.5400206367924528,0.5749456101967514,0.03547435430451595,0.3155080213903743,0.052889324191968665,0.0,4.840810230180589
46,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,0.041668497623843385,0.06659612764885221,0.029755707159396416,0.00873194623194623,0.0015437359383674383,0.6010362694300517,0.46823408018867924,0.021216697923364374,0.019799639611822857,0.39037433155080214,0.10381978452497552,0.0,1.7527768178321017
47,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,0.02610110358176101,0.0009727558101831168,0.008617072526379586,0.2115150865150865,0.0006793412094708443,0.27461139896373055,0.4282871462264151,0.008074375878536653,0.02121562261037793,0.5213903743315508,,0.0,1.501464277653492
48,ANET,Arista Networks,Information Technology,Communications Equipment,0.004776839532869174,0.010178298410161634,0.013030505524561376,0.031558344058344054,0.0021914232563575624,0.49870466321243523,0.44634433962264153,0.006738169274075205,0.026848195526265644,0.339572192513369,,0.0,1.3799429709310804
49,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0.01344620886265028,0.01047946119969201,0.013702621641361948,0.031022093522093515,0.000956921488609469,0.3044041450777202,0.43624705188679247,0.0025764597349277195,0.04221896838281233,0.16310160427807488,0.10479921645445643,0.0,1.1229547525291914
50,AIZ,Assurant,Financials,Multi-line Insurance,0.01618838658778733,0.004672038741581245,0.0018726009728200904,0.014586014586014585,0.00035306263574649615,0.3134715025906736,0.4444280660377359,0.0006910056039359454,0.03650679165269579,0.1310160427807487,0.16062683643486778,0.0,1.1244123486246074
51,T,AT&T,Communication Services,Integrated Telecommunication Services,0.2376745924119003,0.199910855814299,0.045859298512797395,0.002886815386815386,0.0001241806511935952,0.3160621761658031,0.43668926886792453,0.1812075240682946,0.0018598345688006124,0.10160427807486633,0.6238981390793339,0.0,2.1477769636020287
52,ATO,Atmos Energy,Utilities,Gas Utilities,0.005713608320959469,0.007377484467529129,0.004961227058695552,0.01689189189189189,0.00030436434116077254,0.32642487046632124,0.4353626179245283,0.002359597854140091,0.026240311853972836,0.1229946524064171,0.22135161606268364,0.0,1.1699822426483
53,ADSK,Autodesk,Information Technology,Application Software,0.0068888273460182056,0.005437996102953503,0.016363890658751497,0.0730105105105105,0.015230391631685058,0.35233160621761656,0.4736143867924528,0.011903376412248855,0.04737150617653232,0.393048128342246,,0.0,1.3952006201910154
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores,0.025760460386091814,0.024031786728558966,0.015244992152170195,0.014746889746889744,,0.48316062176165797,0.359375,0.0005274980724247543,0.5224301838365661,0.18983957219251338,,0.0,1.635117004876873
55,AVB,AvalonBay Communities,Real Estate,Residential REITs,0.00297143059582242,0.008002899193787213,0.00997295995275762,0.030146217646217645,0.0005332463257136735,0.31994818652849744,0.43278301886792453,0.001639503936988612,0.04796732866485106,0.23796791443850268,0.2889324191968658,0.0,1.3808651253479287
56,AVY,Avery Dennison,Materials,Paper Packaging,0.014059366614854837,0.007462813924562737,0.004475594026325195,0.015971328471328466,0.001838360620611066,0.38860103626943004,0.4567364386792453,0.0010469121525348967,0.04252532245575355,0.2459893048128342,0.15083251714005877,0.0,1.3295389951675392
57,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.03366338252561722,0.00451643796699055,0.008011002501981383,,0.0002824501085971969,0.25,0.4251179245283019,0.036239145693814756,0.003857166634905549,0.3529411764705882,0.2752203721841332,0.0,1.3898490586149297
58,BALL,Ball Corporation,Materials,Metal & Glass Containers,0.024500080562115778,0.007226903072763941,0.005831481452703227,0.021548334048334044,0.0012174573646430902,0.31476683937823835,0.4422906839622642,0.0102853126287903,0.011897151872016365,0.15240641711229946,0.12732615083251714,0.0,1.119296812286686
59,BAC,Bank of America,Financials,Diversified Banks,0.08867725862619281,0.2665682198970224,0.10766678580863727,0.007033819533819533,0.00015583454267431552,0.2772020725388601,0.43528891509433965,0.19418058840272995,0.006033004223826627,0.3529411764705882,0.24289911851126347,0.0,1.978646793649954
60,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,0.012066603920190025,0.010278686006671759,0.0020163483504017157,0.00605069355069355,,0.49352331606217614,0.39408903301886794,0.009468941877951062,0.007017196836110219,0.45989304812834225,0.19196865817825662,1.0,2.5863725259296615
61,BAX,Baxter International,Health Care,Health Care Equipment,0.022984218341387842,0.009977523217141382,0.010011810595347247,0.023979336479336474,0.0006939506978465614,0.31088082901554404,0.43558372641509435,0.005575367819541447,0.011930923187143743,0.1443850267379679,0.188050930460333,0.0,1.164053642966684
62,BDX,Becton Dickinson,Health Care,Health Care Equipment,0.03158545903203511,0.015097290639157787,0.027490714696421076,0.041836479336479326,0.0005868144497579695,0.3173575129533679,0.4335200471698113,0.002171782109216789,0.060501311050697976,0.13903743315508021,0.12732615083251714,0.0,1.1965109954245428
63,WRB,Berkley,Financials,Property & Casualty Insurance,0.01658012626280691,0.0131899263054654,0.0055245613762451625,0.012083512083512084,0.0005697700466529663,0.31994818652849744,0.44192216981132076,0.0020702190475111273,0.01398132446273456,0.15240641711229946,0.05582761998041136,0.0,1.0341038330174572
64,BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings,,,,,,,,,,,,,0.0
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0.08269897054219838,0.017606980551910928,0.005147710143125768,0.006515444015444014,0.0013440729305659717,0.4015544041450777,0.4675707547169811,0.010033317014447516,0.015908701661789933,0.39037433155080214,0.4407443682664054,0.0,1.839499055538749
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,0.0037038134665111975,0.019337662715745496,0.0043279615844846065,,0.0002824501085971969,0.11139896373056996,0.41531544811320753,0.000428831188835284,0.11571258681037165,0.24866310160427807,,0.0,0.919170819322601
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,0.0007061533446222489,0.0025679147187290126,0.003438281869182116,0.040924853424853413,0.0016825260779367507,0.4209844559585492,0.43912146226415094,0.003091051537883233,0.0758576104864758,0.32085561497326204,0.03721841332027424,0.0,1.346448337975919
68,BIIB,Biogen,Health Care,Biotechnology,0.016920769458476106,0.020518220850704573,0.010023465788124136,0.010224510224510222,0.00047724328694009134,0.37694300518134716,0.44089033018867924,0.014890263951768682,0.046922830132697144,0.10160427807486633,,0.0,1.0394149171381137
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,0.031823909269003546,0.05846473233153204,0.0390837464451662,0.013629701129701126,0.0005575954730065353,0.3173575129533679,0.43882665094339623,0.004787087184605852,0.15585703154964506,0.3155080213903743,0.27228207639569046,0.0,1.6481780650654891
