종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV,매출액,영업이익,당기순이익,ROA,ROE,베타
006730,서부T&D,경기관련소비재,숙박·음식,KOSDAQ,200503,132591243,11.14,0.67,0.65,338.0,8.0,-63.0,-1.0,-4.3,0.86
290510,코리아센터,경기관련소비재,소프트웨어,KOSDAQ,198603,132591243,52.07,1.63,0.0,1266.0,115.0,16.0,1.4,0.6,1.08
002350,넥센타이어,경기관련소비재,화학,KOSPI,196498,132591243,144.22,0.42,1.62,6534.0,-233.0,-87.0,-1.8,-4.4,1.0
060280,큐렉소,경기관련소비재,유통,KOSDAQ,192730,132591243,0.0,6.03,0.0,153.0,-4.0,-13.0,-4.3,-5.6,0.98
096240,크레버스,경기관련소비재,기타서비스,KOSDAQ,191961,132591243,11.31,2.18,8.3,574.0,90.0,4.0,2.6,6.3,0.62
038880,아이에이,경기관련소비재,반도체,KOSDAQ,191694,132591243,92.38,2.14,0.0,194.0,3.0,39.0,6.1,7.0,1.25
035080,그래디언트,경기관련소비재,유통,KOSDAQ,175105,132591243,0.0,0.97,1.4,8584.0,41.0,3530.0,39.9,147.9,1.18
284740,쿠쿠홈시스,경기관련소비재,서비스업,KOSPI,174742,132591243,4.78,1.13,2.0,2627.0,453.0,373.0,14.2,19.0,0.55
006060,화승인더,경기관련소비재,화학,KOSPI,173484,132591243,0.0,0.72,3.84,5253.0,324.0,167.0,2.7,9.5,0.74
065350,신성델타테크,경기관련소비재,일반전기전자,KOSDAQ,169851,132591243,11.34,1.84,1.17,1997.0,108.0,53.0,5.3,14.6,1.43
010690,화신,경기관련소비재,운수장비,KOSPI,169015,132591243,14.84,1.26,0.64,4025.0,224.0,227.0,10.4,31.0,1.48
024720,한국콜마홀딩스,경기관련소비재,기타금융,KOSPI,168026,132591243,14.18,0.53,1.46,1825.0,218.0,123.0,3.8,3.1,0.72
110790,크리스에프앤씨,경기관련소비재,섬유·의류,KOSDAQ,166700,132591243,4.43,1.0,3.58,1212.0,275.0,-334.0,-10.5,-16.5,0.61
052260,현대바이오랜드,경기관련소비재,화학,KOSDAQ,162690,132591243,0.0,1.91,0.44,278.0,45.0,47.0,9.1,12.3,0.84
033290,코웰패션,경기관련소비재,유통,KOSDAQ,158345,132591243,8.58,1.25,2.03,2920.0,337.0,216.0,7.1,15.7,0.71
270660,에브리봇,경기관련소비재,일반전기전자,KOSDAQ,156875,132591243,24.2,4.34,0.86,149.0,22.0,21.0,12.8,17.5,0.65
214330,금호에이치티,경기관련소비재,운수장비,KOSPI,153294,132591243,0.0,0.58,0.0,599.0,8.0,-61.0,-2.5,-3.3,0.62
067990,도이치모터스,경기관련소비재,유통,KOSDAQ,148920,132591243,6.3,0.69,4.66,4829.0,200.0,135.0,4.4,15.1,0.58
118990,모트렉스,경기관련소비재,운송장비·부품,KOSDAQ,147941,132591243,25.5,2.26,0.0,1153.0,101.0,109.0,8.3,25.8,1.28
071840,롯데하이마트,경기관련소비재,유통업,KOSPI,143629,132591243,0.0,0.2,6.41,8875.0,3.0,-28.0,-0.7,-1.1,0.82
004250,NPC,경기관련소비재,화학,KOSPI,139095,132591243,15.18,1.23,1.06,1389.0,89.0,140.0,6.8,10.7,0.41
000050,경방,경기관련소비재,유통업,KOSPI,137076,132591243,14.33,0.42,1.0,984.0,99.0,-7.0,2.3,3.8,0.4
005390,신성통상,경기관련소비재,유통업,KOSPI,136810,132591243,14.0,1.52,0.0,3084.0,23.0,-20.0,8.0,25.2,1.49
088290,이원컴포텍,경기관련소비재,운송장비·부품,KOSDAQ,132502,132591243,0.0,3.95,0.0,109.0,2.0,-88.0,-25.6,-49.6,0.54
123040,엠에스오토텍,경기관련소비재,운송장비·부품,KOSDAQ,132083,132591243,0.0,1.43,0.0,4554.0,255.0,303.0,7.1,18.8,1.13
121440,골프존뉴딘홀딩스,경기관련소비재,유통,KOSDAQ,126454,132591243,2.08,0.47,2.13,1463.0,334.0,322.0,10.1,15.6,0.63
043090,한창바이오텍,경기관련소비재,유통,KOSDAQ,125447,132591243,0.0,4.38,0.0,8.0,-6.0,-12.0,2.0,3.2,0.42
000430,대원강업,경기관련소비재,운수장비,KOSPI,119511,132591243,0.0,0.42,3.16,2536.0,-28.0,-26.0,-0.4,-2.0,1.01
003200,일신방직,경기관련소비재,섬유의복,KOSPI,117720,132591243,3.93,0.32,2.75,1521.0,136.0,80.0,4.3,5.8,0.58
018250,애경산업,경기관련소비재,화학,KOSPI,116204,132591243,22.92,1.04,1.45,1418.0,42.0,40.0,4.7,5.9,0.74
003570,SNT중공업,경기관련소비재,운수장비,KOSPI,114938,132591243,4.18,0.38,3.59,900.0,63.0,63.0,2.6,3.5,0.72
027410,BGF,경기관련소비재,기타금융,KOSPI,114573,132591243,5.83,0.24,2.76,1111.0,153.0,224.0,1.5,2.1,0.72
126600,코프라,경기관련소비재,화학,KOSDAQ,113843,132591243,149.74,0.89,1.71,646.0,31.0,53.0,11.7,21.5,1.22
001070,대한방직,경기관련소비재,섬유의복,KOSPI,113526,132591243,117.78,1.32,0.0,471.0,-18.0,-27.0,-3.5,-5.9,0.04
002700,신일전자,경기관련소비재,유통업,KOSPI,113221,132591243,16.84,1.63,1.3,670.0,32.0,18.0,2.2,4.0,0.36
102280,쌍방울,경기관련소비재,섬유의복,KOSPI,112831,132591243,0.0,0.6,0.0,274.0,8.0,-64.0,-11.5,-16.9,0.21
192400,쿠쿠홀딩스,경기관련소비재,기타금융,KOSPI,111381,132591243,3.73,0.61,4.02,1728.0,128.0,259.0,11.9,14.2,0.55
035150,백산,경기관련소비재,화학,KOSPI,111150,132591243,12.74,1.69,0.99,1237.0,83.0,101.0,13.7,30.2,1.02
119860,다나와,경기관련소비재,인터넷,KOSDAQ,110613,132591243,8.05,1.48,0.0,403.0,92.0,78.0,21.7,24.1,0.87
018290,브이티지엠피,경기관련소비재,화학,KOSDAQ,108331,132591243,11.29,2.17,0.0,572.0,55.0,37.0,10.6,24.0,0.42
003610,방림,경기관련소비재,섬유의복,KOSPI,107393,132591243,24.61,0.91,0.96,352.0,7.0,30.0,2.3,3.0,0.61
