매출액,영업이익,당기순이익,ROA,ROE,베타
170.0,-6.0,22.0,-4.7,-7.0,0.33
733.0,42.0,58.0,4.4,4.9,1.02
675.0,16.0,-9.0,0.5,1.4,1.28
738.0,22.0,19.0,3.9,6.1,1.07
146.0,9.0,8.0,4.4,8.3,1.18
414.0,-6.0,-1.0,-1.6,0.8,0.61
438.0,23.0,20.0,4.8,6.6,0.96
779.0,-3.0,10.0,0.6,8.4,0.9
148.0,-11.0,-22.0,-0.7,-2.6,0.87
1821.0,-189.0,-207.0,-12.6,-149.6,0.58
370.0,6.0,29.0,9.7,29.1,0.77
211.0,36.0,27.0,8.4,13.7,1.18
114.0,15.0,50.0,13.9,20.6,0.81
156.0,17.0,16.0,10.9,12.4,0.83
349.0,9.0,56.0,6.7,12.6,1.44
301.0,18.0,72.0,7.6,11.1,0.89
1200.0,94.0,86.0,8.5,32.4,1.78
357.0,9.0,-4.0,0.9,3.0,0.57
145.0,-23.0,-18.0,3.2,4.3,0.8
315.0,26.0,19.0,7.0,13.1,0.64
227.0,43.0,27.0,8.8,15.4,0.79
201.0,1.0,1.0,0.8,1.5,1.16
326.0,-5.0,33.0,3.7,4.2,0.34
96,-,3,6.2,7.0,1.06
345.0,-29.0,-28.0,-4.5,-7.6,0.55
1112.0,39.0,28.0,2.3,7.0,1.2
488.0,-17.0,-35.0,-9.9,-29.2,0.9
1284.0,5.0,15.0,0.9,7.8,1.1
197.0,12.0,14.0,7.2,9.2,0.9
441.0,-69.0,-27.0,0.7,0.9,0.81
301.0,-8.0,12.0,-2.3,-10.2,0.83
330.0,32.0,28.0,1.0,1.3,0.81
133.0,6.0,6.0,4.5,5.3,0.51
213.0,17.0,15.0,4.9,8.2,0.95
230.0,-3.0,-5.0,-0.3,-1.3,0.51
191.0,-1.0,-51.0,-14.6,-21.8,-0.04
1312.0,60.0,19.0,1.7,11.9,1.02
1203.0,7.0,-4.0,-0.3,-1.0,1.54
165.0,-5.0,-6.0,-11.5,-77.4,0.68
403.0,15.0,7.0,4.9,8.6,1.02
1519.0,-74.0,-20.0,-2.9,-9.0,1.03
309.0,37.0,35.0,7.6,15.0,1.27
73.0,4.0,8.0,4.2,4.6,1.35
1025.0,22.0,30.0,0.5,1.4,0.73
82.0,-5.0,-3.0,-13.6,-29.7,0.68
377.0,15.0,37.0,2.9,11.5,1.19
196.0,27.0,6.0,6.4,10.6,0.96
17.0,-24.0,-18.0,-30.9,-68.8,0.55
500.0,9.0,10.0,2.8,5.3,1.29
2164.0,-66.0,-213.0,-9.0,-34.5,0.7
187.0,53.0,34.0,6.0,7.5,0.49
85.0,-29.0,-38.0,-22.0,-66.6,0.99
160.0,13.0,14.0,5.5,11.7,0.92
204.0,4.0,-2.0,-8.9,-14.0,1.24
404.0,39.0,35.0,7.7,12.4,1.06
109.0,3.0,-28.0,-1.2,-1.6,1.45
161.0,-15.0,-25.0,-15.4,-51.1,0.26
512.0,29.0,11.0,6.0,15.3,1.23
985.0,53.0,58.0,1.9,4.4,1.23
289,19,-,-0.4,-1.1,0.4
108.0,-22.0,-21.0,-17.4,-26.2,0.66
1323,5,-,-0.2,-1.1,0.9
85.0,-4.0,-6.0,-4.3,-10.5,-0.03
216.0,15.0,20.0,5.3,7.0,1.1
