종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV
123040,엠에스오토텍,경기관련소비재,운송장비·부품,KOSDAQ,132083,132591243,0.0,1.43,0.0
121440,골프존뉴딘홀딩스,경기관련소비재,유통,KOSDAQ,126454,132591243,2.08,0.47,2.13
043090,한창바이오텍,경기관련소비재,유통,KOSDAQ,125447,132591243,0.0,4.38,0.0
000430,대원강업,경기관련소비재,운수장비,KOSPI,119511,132591243,0.0,0.42,3.16
003200,일신방직,경기관련소비재,섬유의복,KOSPI,117720,132591243,3.93,0.32,2.75
018250,애경산업,경기관련소비재,화학,KOSPI,116204,132591243,22.92,1.04,1.45
003570,SNT중공업,경기관련소비재,운수장비,KOSPI,114938,132591243,4.18,0.38,3.59
027410,BGF,경기관련소비재,기타금융,KOSPI,114573,132591243,5.83,0.24,2.76
126600,코프라,경기관련소비재,화학,KOSDAQ,113843,132591243,149.74,0.89,1.71
001070,대한방직,경기관련소비재,섬유의복,KOSPI,113526,132591243,117.78,1.32,0.0
002700,신일전자,경기관련소비재,유통업,KOSPI,113221,132591243,16.84,1.63,1.3
102280,쌍방울,경기관련소비재,섬유의복,KOSPI,112831,132591243,0.0,0.6,0.0
192400,쿠쿠홀딩스,경기관련소비재,기타금융,KOSPI,111381,132591243,3.73,0.61,4.02
035150,백산,경기관련소비재,화학,KOSPI,111150,132591243,12.74,1.69,0.99
119860,다나와,경기관련소비재,인터넷,KOSDAQ,110613,132591243,8.05,1.48,0.0
018290,브이티지엠피,경기관련소비재,화학,KOSDAQ,108331,132591243,11.29,2.17,0.0
003610,방림,경기관련소비재,섬유의복,KOSPI,107393,132591243,24.61,0.91,0.96
337930,브랜드엑스코퍼레이션,경기관련소비재,인터넷,KOSDAQ,106609,132591243,27.0,3.1,1.39
066590,우수AMS,경기관련소비재,운송장비·부품,KOSDAQ,106314,132591243,0.0,1.6,0.0
031440,신세계푸드,경기관련소비재,서비스업,KOSPI,101072,132591243,92.95,0.79,1.29
013720,CBI,경기관련소비재,운송장비·부품,KOSDAQ,99618,132591243,0.0,3.79,0.0
036030,케이티알파,경기관련소비재,유통,KOSDAQ,99485,132591243,0.0,1.38,0.0
037710,광주신세계,경기관련소비재,유통업,KOSPI,98344,132591243,4.91,0.35,5.26
013990,아가방컴퍼니,경기관련소비재,유통,KOSDAQ,97832,132591243,10.16,0.9,0.0
036620,감성코퍼레이션,경기관련소비재,유통,KOSDAQ,97245,132591243,405.0,4.34,0.0
068930,디지털대성,경기관련소비재,기타서비스,KOSDAQ,96900,132591243,11.16,1.34,4.06
215360,우리산업,경기관련소비재,운송장비·부품,KOSDAQ,96650,132591243,413.1,1.35,0.75
200880,서연이화,경기관련소비재,운수장비,KOSPI,96464,132591243,8.53,0.34,1.81
095720,웅진씽크빅,경기관련소비재,서비스업,KOSPI,96055,132591243,6.61,0.78,5.16
044340,위닉스,경기관련소비재,일반전기전자,KOSDAQ,95945,132591243,9.71,0.97,4.1
070960,용평리조트,경기관련소비재,서비스업,KOSPI,94264,132591243,21.33,0.48,0.0
168330,내츄럴엔도텍,경기관련소비재,기타서비스,KOSDAQ,92321,132591243,0.0,3.13,0.0
056080,유진로봇,경기관련소비재,기계·장비,KOSDAQ,92089,132591243,0.0,4.8,0.0
033530,세종공업,경기관련소비재,운수장비,KOSPI,92076,132591243,0.0,0.4,1.69
072870,메가스터디,경기관련소비재,출판·매체복제,KOSDAQ,91195,132591243,5.24,0.45,5.33
126560,현대퓨처넷,경기관련소비재,통신업,KOSPI,90703,132591243,3.14,0.38,3.39
244460,올리패스,경기관련소비재,제약,KOSDAQ,90666,132591243,0.0,5.29,0.0
215100,로보로보,경기관련소비재,디지털컨텐츠,KOSDAQ,90591,132591243,0.0,4.96,0.0
068290,삼성출판사,경기관련소비재,서비스업,KOSPI,89265,132591243,85.6,1.43,0.74
105550,트루윈,경기관련소비재,일반전기전자,KOSDAQ,89095,132591243,0.0,1.7,0.0
092730,네오팜,경기관련소비재,화학,KOSDAQ,87556,132591243,8.41,1.14,3.67
001460,BYC,경기관련소비재,섬유의복,KOSPI,87337,132591243,11.17,0.69,0.38
037070,파세코,경기관련소비재,일반전기전자,KOSDAQ,87000,132591243,15.67,2.95,2.0
042600,새로닉스,경기관련소비재,IT부품,KOSDAQ,86710,132591243,9.05,2.42,0.0
114630,폴라리스우노,경기관련소비재,화학,KOSDAQ,86666,132591243,18.47,1.14,0.0
094850,참좋은여행,경기관련소비재,기타서비스,KOSDAQ,86583,132591243,0.0,1.59,0.0
009810,플레이그램,경기관련소비재,유통업,KOSPI,86380,132591243,0.0,2.01,0.0
084680,이월드,경기관련소비재,기타제조업,KOSPI,85084,132591243,0.0,1.11,0.0
064800,젬백스링크,경기관련소비재,유통,KOSDAQ,84023,132591243,3.0,0.56,1.57
306040,에스제이그룹,경기관련소비재,섬유·의류,KOSDAQ,83998,132591243,8.37,1.85,2.27
036530,SNT홀딩스,경기관련소비재,기타금융,KOSPI,83932,132591243,2.93,0.24,4.49
005720,넥센,경기관련소비재,화학,KOSPI,83737,132591243,7.7,0.2,2.49
353590,오토앤,경기관련소비재,유통,KOSDAQ,82738,132591243,62.3,7.21,0.0
079980,휴비스,경기관련소비재,화학,KOSPI,82662,132591243,53.96,0.42,5.01
352700,씨앤투스성진,경기관련소비재,섬유·의류,KOSDAQ,82342,132591243,3.17,0.9,14.42
376180,피코그램,경기관련소비재,기타제조,KOSDAQ,82108,132591243,63.91,8.15,0.0
092200,디아이씨,경기관련소비재,운수장비,KOSPI,81293,132591243,5.34,1.68,0.0
004700,조광피혁,경기관련소비재,기타제조업,KOSPI,80697,132591243,14.26,0.42,0.67
122350,삼기,경기관련소비재,운송장비·부품,KOSDAQ,78822,132591243,0.0,0.85,0.96
194370,제이에스코퍼레이션,경기관련소비재,기타제조업,KOSPI,78413,132591243,4.33,1.05,3.57
101140,인바이오젠,경기관련소비재,유통업,KOSPI,78349,132591243,1.15,0.77,0.0
362320,청담글로벌,경기관련소비재,유통,KOSDAQ,77688,132591243,23.76,5.38,0.0
011320,유니크,경기관련소비재,운송장비·부품,KOSDAQ,77667,132591243,20.53,1.18,0.0
047400,유니온머티리얼,경기관련소비재,비금속광물,KOSPI,77566,132591243,263.08,1.71,1.02
013310,아진산업,경기관련소비재,운송장비·부품,KOSDAQ,77489,132591243,50.32,0.57,0.0
009270,신원,경기관련소비재,섬유의복,KOSPI,76331,132591243,9.88,0.61,3.07
067280,멀티캠퍼스,경기관련소비재,디지털컨텐츠,KOSDAQ,75984,132591243,10.08,1.5,1.73
234100,폴라리스세원,경기관련소비재,운송장비·부품,KOSDAQ,75863,132591243,11.49,1.03,0.0
041930,동아화성,경기관련소비재,화학,KOSDAQ,74260,132591243,11.23,1.09,1.6
237880,클리오,경기관련소비재,화학,KOSDAQ,74129,132591243,26.54,1.48,1.02
019660,글로본,경기관련소비재,유통,KOSDAQ,73786,132591243,0.0,4.89,0.0
053280,예스24,경기관련소비재,인터넷,KOSDAQ,73673,132591243,8.4,0.47,3.19
005320,국동,경기관련소비재,유통업,KOSPI,73273,132591243,0.0,0.8,0.0
265560,영화테크,경기관련소비재,운송장비·부품,KOSDAQ,72960,132591243,57.11,2.77,0.37
009680,모토닉,경기관련소비재,운수장비,KOSPI,72072,132591243,15.33,0.44,4.76
007860,서연,경기관련소비재,기타금융,KOSPI,71069,132591243,6.03,0.3,1.52
257720,실리콘투,경기관련소비재,유통,KOSDAQ,70991,132591243,24.37,1.74,0.0
002170,삼양통상,경기관련소비재,기타제조업,KOSPI,70605,132591243,4.5,0.37,2.39
067170,오텍,경기관련소비재,운송장비·부품,KOSDAQ,70306,132591243,0.0,0.66,1.96
027050,코리아나,경기관련소비재,화학,KOSDAQ,70296,132591243,28.32,1.12,0.0
024740,한일단조,경기관련소비재,운송장비·부품,KOSDAQ,69719,132591243,0.0,1.02,0.0
011330,유니켐,경기관련소비재,기타제조업,KOSPI,69698,132591243,22.69,0.78,2.54
308170,센트랄모텍,경기관련소비재,운수장비,KOSPI,69224,132591243,100.9,1.47,0.0
366030,공구우먼,경기관련소비재,유통,KOSDAQ,68984,132591243,17.38,5.62,23.76
226320,잇츠한불,경기관련소비재,화학,KOSPI,68748,132591243,0.0,0.77,1.21
260930,씨티케이,경기관련소비재,화학,KOSDAQ,68593,132591243,0.0,0.89,1.24
090370,메타랩스,경기관련소비재,섬유의복,KOSPI,67616,132591243,0.0,1.03,0.0
002450,삼익악기,경기관련소비재,기타제조업,KOSPI,67174,132591243,4.76,0.46,3.57
040420,정상제이엘에스,경기관련소비재,기타서비스,KOSDAQ,64425,132591243,8.34,1.58,6.96
043370,피에이치에이,경기관련소비재,운송장비·부품,KOSDAQ,63882,132591243,3.69,0.21,2.66
023800,인지컨트롤스,경기관련소비재,운수장비,KOSPI,62997,132591243,31.92,0.59,2.01
089470,HDC현대EP,경기관련소비재,화학,KOSPI,62585,132591243,11.98,0.41,3.28
159580,제로투세븐,경기관련소비재,유통,KOSDAQ,62422,132591243,128.81,2.02,0.0
009320,대우부품,경기관련소비재,운수장비,KOSPI,62422,132591243,0.0,2.7,0.0
102370,케이옥션,경기관련소비재,유통,KOSDAQ,62234,132591243,14.55,2.22,0.0
024890,대원화성,경기관련소비재,화학,KOSPI,61989,132591243,0.0,1.66,0.0
024950,삼천리자전거,경기관련소비재,유통,KOSDAQ,60743,132591243,21.92,0.96,1.9
000300,대유플러스,경기관련소비재,전기전자,KOSPI,60318,132591243,0.0,1.16,0.0
067570,엔브이에이치코리아,경기관련소비재,운송장비·부품,KOSDAQ,59557,132591243,7.0,0.67,2.98
282690,동아타이어,경기관련소비재,화학,KOSPI,59066,132591243,10.51,0.47,7.91
004060,SG세계물산,경기관련소비재,유통업,KOSPI,57132,132591243,2.48,0.48,0.0
004830,덕성,경기관련소비재,화학,KOSPI,56699,132591243,15.19,1.08,0.8
006370,대구백화점,경기관련소비재,유통업,KOSPI,56619,132591243,0.0,0.36,0.92
012860,모베이스전자,경기관련소비재,운송장비·부품,KOSDAQ,56428,132591243,11.07,0.56,0.0
012200,계양전기,경기관련소비재,기계,KOSPI,55955,132591243,0.0,0.57,1.14
025620,제이준코스메틱,경기관련소비재,화학,KOSPI,55742,132591243,0.0,1.07,0.0
241710,코스메카코리아,경기관련소비재,화학,KOSDAQ,55640,132591243,10.59,0.66,0.0
005800,신영와코루,경기관련소비재,섬유의복,KOSPI,54851,132591243,16.57,0.33,1.26
038110,에코플라스틱,경기관련소비재,운송장비·부품,KOSDAQ,54835,132591243,16.0,0.71,1.84
020710,시공테크,경기관련소비재,기타서비스,KOSDAQ,54520,132591243,38.01,0.94,0.9
069920,아이에스이커머스,경기관련소비재,유통,KOSDAQ,54080,132591243,6.15,2.65,0.0
123690,한국화장품,경기관련소비재,유통업,KOSPI,53921,132591243,0.0,5.22,0.0
014470,부방,경기관련소비재,금융,KOSDAQ,53921,132591243,0.0,0.75,0.0
000950,전방,경기관련소비재,섬유의복,KOSPI,53508,132591243,464.29,0.51,0.0
088390,이녹스,경기관련소비재,운송장비·부품,KOSDAQ,53499,132591243,4.04,1.12,0.0
024900,덕양산업,경기관련소비재,운수장비,KOSPI,53433,132591243,15.34,1.71,0.0
006660,삼성공조,경기관련소비재,운수장비,KOSPI,53227,132591243,0.0,0.48,0.61
170030,현대공업,경기관련소비재,운송장비·부품,KOSDAQ,53208,132591243,8.91,0.89,1.79
114840,아이패밀리에스씨,경기관련소비재,화학,KOSDAQ,52943,132591243,22.17,2.33,0.55
016090,대현,경기관련소비재,섬유의복,KOSPI,52572,132591243,5.15,0.45,4.02
053700,삼보모터스,경기관련소비재,운송장비·부품,KOSDAQ,51588,132591243,6.38,0.36,1.08
078520,에이블씨엔씨,경기관련소비재,화학,KOSPI,50136,132591243,0.0,1.29,0.0
104040,대성파인텍,경기관련소비재,운송장비·부품,KOSDAQ,49581,132591243,58.06,1.01,0.0
066910,손오공,경기관련소비재,유통,KOSDAQ,49112,132591243,16.47,2.15,0.0
019010,베뉴지,경기관련소비재,유통,KOSDAQ,48142,132591243,2.19,0.3,1.32
019680,대교,경기관련소비재,서비스업,KOSPI,47798,132591243,0.0,0.49,2.69
007720,대명소노시즌,경기관련소비재,유통,KOSDAQ,47417,132591243,0.0,0.62,0.0
352480,씨앤씨인터내셔널,경기관련소비재,화학,KOSDAQ,47191,132591243,0.0,1.6,0.0
002880,대유에이텍,경기관련소비재,운수장비,KOSPI,47148,132591243,0.0,1.02,0.0
217480,에스디생명공학,경기관련소비재,화학,KOSDAQ,47014,132591243,0.0,1.5,0.0
083550,케이엠,경기관련소비재,섬유·의류,KOSDAQ,46668,132591243,9.74,0.58,1.0
377460,위니아에이드,경기관련소비재,운송,KOSDAQ,46162,132591243,3.53,0.89,0.0
365900,브이씨,경기관련소비재,기타제조,KOSDAQ,45777,132591243,8.07,1.85,0.0
005360,모나미,경기관련소비재,유통업,KOSPI,45773,132591243,4.44,0.68,2.72
128540,에코캡,경기관련소비재,운송장비·부품,KOSDAQ,45761,132591243,0.0,2.52,0.0
067830,세이브존I&C,경기관련소비재,유통업,KOSPI,45555,132591243,14.09,0.23,1.08
008600,윌비스,경기관련소비재,유통업,KOSPI,45334,132591243,0.0,0.53,0.0
010100,한국프랜지,경기관련소비재,운수장비,KOSPI,45301,132591243,4.26,0.31,3.45
038530,골드퍼시픽,경기관련소비재,유통,KOSDAQ,45093,132591243,0.0,0.8,0.0
123410,코리아에프티,경기관련소비재,운송장비·부품,KOSDAQ,44601,132591243,13.35,0.56,2.25
241690,유니테크노,경기관련소비재,운송장비·부품,KOSDAQ,44476,132591243,13.24,1.39,0.0
265740,엔에프씨,경기관련소비재,화학,KOSDAQ,44373,132591243,15.7,1.72,0.93
066130,하츠,경기관련소비재,일반전기전자,KOSDAQ,44218,132591243,10.59,0.9,1.42
038620,위즈코프,경기관련소비재,유통,KOSDAQ,43322,132591243,0.0,0.87,0.0
007980,태평양물산,경기관련소비재,섬유의복,KOSPI,43315,132591243,0.0,0.48,0.0
039830,오로라,경기관련소비재,기타서비스,KOSDAQ,43298,132591243,8.88,0.69,1.46
005710,대원산업,경기관련소비재,운송장비·부품,KOSDAQ,43249,132591243,3.48,0.31,2.2
317870,엔바이오니아,경기관련소비재,기타제조,KOSDAQ,43161,132591243,0.0,3.49,0.0
021820,세원정공,경기관련소비재,운수장비,KOSPI,42877,132591243,3.26,0.18,0.31
159910,스킨앤스킨,경기관련소비재,반도체,KOSDAQ,42796,132591243,42.4,1.98,0.0
013870,지엠비코리아,경기관련소비재,운수장비,KOSPI,42773,132591243,10.7,0.44,1.46
016450,한세예스24홀딩스,경기관련소비재,섬유의복,KOSPI,42332,132591243,5.43,0.46,4.49
369370,블리츠웨이,경기관련소비재,기타제조,KOSDAQ,41917,132591243,0.0,5.9,0.0
215480,토박스코리아,경기관련소비재,유통,KOSDAQ,41537,132591243,14.59,1.91,0.0
012280,영화금속,경기관련소비재,운수장비,KOSPI,41231,132591243,0.0,1.01,0.0
002070,비비안,경기관련소비재,섬유의복,KOSPI,41134,132591243,0.0,0.51,0.0
016740,두올,경기관련소비재,운수장비,KOSPI,41102,132591243,5.74,0.47,2.83
024910,경창산업,경기관련소비재,운송장비·부품,KOSDAQ,41070,132591243,19.66,0.93,0.0
065150,엠피대산,경기관련소비재,유통,KOSDAQ,40466,132591243,4.57,1.47,0.0
031510,오스템,경기관련소비재,운송장비·부품,KOSDAQ,40215,132591243,0.0,0.47,1.04
025440,대성엘텍,경기관련소비재,일반전기전자,KOSDAQ,40174,132591243,0.0,2.35,0.0
101330,모베이스,경기관련소비재,IT부품,KOSDAQ,40171,132591243,12.47,0.26,0.0
023000,삼원강재,경기관련소비재,운수장비,KOSPI,39812,132591243,12.12,0.49,3.9
045520,크린앤사이언스,경기관련소비재,기계·장비,KOSDAQ,39696,132591243,0.0,1.39,1.52
013520,화승코퍼레이션,경기관련소비재,운수장비,KOSPI,38815,132591243,0.0,0.51,1.52
005030,부산주공,경기관련소비재,운수장비,KOSPI,38784,132591243,0.0,2.21,0.0
018700,바른손,경기관련소비재,유통,KOSDAQ,38590,132591243,4.79,1.23,0.0
378850,화승알앤에이,경기관련소비재,운수장비,KOSPI,38120,132591243,14.87,1.4,0.56
023810,인팩,경기관련소비재,운수장비,KOSPI,37877,132591243,25.26,0.77,2.33
011300,성안,경기관련소비재,섬유의복,KOSPI,37780,132591243,2.51,1.51,0.0
002920,유성기업,경기관련소비재,운수장비,KOSPI,37582,132591243,9.13,0.27,4.23
053270,구영테크,경기관련소비재,운송장비·부품,KOSDAQ,36931,132591243,25.04,1.03,0.94
126640,화신정공,경기관련소비재,운송장비·부품,KOSDAQ,36709,132591243,13.38,0.62,1.72
057030,YBM넷,경기관련소비재,기타서비스,KOSDAQ,36689,132591243,27.91,1.66,2.27
065060,지엔코,경기관련소비재,섬유·의류,KOSDAQ,36383,132591243,0.0,0.99,0.0
204020,그리티,경기관련소비재,섬유·의류,KOSDAQ,36374,132591243,0.0,0.92,0.0
046070,코다코,경기관련소비재,운송장비·부품,KOSDAQ,35945,132591243,6.79,1.96,0.0
