종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"097520","엠씨넥스","KOSPI","전기전자","34250","-750","-2.14","615737321000"
"014440","영보화학","KOSPI","화학","4120","5","0.12","82400000000"
"111770","영원무역","KOSPI","유통업","44050","1300","3.04","1951920165400"
"009970","영원무역홀딩스","KOSPI","기타금융","52200","900","1.75","711777902400"
"003520","영진약품","KOSPI","의약품","3295","-20","-0.60","602631548645"
"000670","영풍","KOSPI","철강금속","662000","-8000","-1.19","1219430480000"
"006740","영풍제지","KOSPI","종이목재","7380","-230","-3.02","163836000000"
"012280","영화금속","KOSPI","운수장비","1170","0","0.00","62471570850"
"012160","영흥","KOSPI","철강금속","793","-9","-1.12","80339124996"
"015360","예스코홀딩스","KOSPI","서비스업","34400","-100","-0.29","206400000000"
"007310","오뚜기","KOSPI","음식료품","475500","3000","0.63","1746026965500"
"002630","오리엔트바이오","KOSPI","의약품","744","0","0.00","88225755720"
"271560","오리온","KOSPI","음식료품","97000","-500","-0.51","3835004804000"
"001800","오리온홀딩스","KOSPI","기타금융","14100","-50","-0.35","883300450200"
"011690","와이투솔루션","KOSPI","전기전자","707","1","0.14","112579595359"
"070960","용평리조트","KOSPI","서비스업","3820","-20","-0.52","183869332060"
"316140","우리금융지주","KOSPI","기타금융","11450","-100","-0.87","8336293286050"
"010050","우리종금","KOSPI","기타금융","846","-20","-2.31","739576081476"
"006980","우성","KOSPI","음식료품","24900","300","1.22","76941000000"
"017370","우신시스템","KOSPI","기계","2300","-25","-1.08","42122324200"
"105840","우진","KOSPI","의료정밀","12100","-300","-2.42","245915729400"
"010400","우진아이엔에스","KOSPI","건설업","6310","-20","-0.32","48094820000"
"049800","우진플라임","KOSPI","기계","4335","-65","-1.48","86700000000"
"016880","웅진","KOSPI","서비스업","1365","-15","-1.09","109100464200"
"095720","웅진씽크빅","KOSPI","서비스업","2465","-55","-2.18","284722253025"
"005820","원림","KOSPI","섬유의복","22250","-450","-1.98","51129832500"
"010600","웰바이오텍","KOSPI","유통업","1595","-5","-0.31","105959205880"
"008600","윌비스","KOSPI","유통업","897","-2","-0.22","60310726983"
"033270","유나이티드제약","KOSPI","의약품","23700","-450","-1.86","385002281400"
"014830","유니드","KOSPI","화학","100000","0","0.00","888984300000"
"000910","유니온","KOSPI","비금속광물","5910","-240","-3.90","92264668290"
"047400","유니온머티리얼","KOSPI","비금속광물","3245","-175","-5.12","136290000000"
"011330","유니켐","KOSPI","기타제조업","1185","5","0.42","86411836485"
"077500","유니퀘스트","KOSPI","유통업","8660","10","0.12","236842123500"
"002920","유성기업","KOSPI","운수장비","2795","-45","-1.58","72523262500"
"000700","유수홀딩스","KOSPI","서비스업","6300","-120","-1.87","164063415600"
"003470","유안타증권","KOSPI","증권","2820","0","0.00","562862344320"
"003475","유안타증권우","KOSPI","증권","2850","5","0.18","36799804200"
"072130","유엔젤","KOSPI","서비스업","3370","-15","-0.44","44468679980"
"000220","유유제약","KOSPI","의약품","6400","90","1.43","110287046400"
"000225","유유제약1우","KOSPI","의약품","8890","0","0.00","20153007700"
"000227","유유제약2우B","KOSPI","의약품","16750","0","0.00","5453130000"
"001200","유진투자증권","KOSPI","증권","2810","-35","-1.23","272194634580"
"000100","유한양행","KOSPI","의약품","56000","-100","-0.18","4100962656000"
"000105","유한양행우","KOSPI","의약품","55700","0","0.00","65778358000"
"003460","유화증권","KOSPI","증권","2420","0","0.00","137219844300"
"003465","유화증권우","KOSPI","증권","2525","5","0.20","44127973125"
"008730","율촌화학","KOSPI","화학","31000","-1000","-3.13","768800000000"
"008250","이건산업","KOSPI","종이목재","8930","-50","-0.56","97807030550"
"025820","이구산업","KOSPI","철강금속","3005","-30","-0.99","100493210000"
"214320","이노션","KOSPI","서비스업","42250","50","0.12","845000000000"
"088260","이리츠코크렙","KOSPI","서비스업","5690","-20","-0.35","360413647100"
"139480","이마트","KOSPI","유통업","97000","300","0.31","2703954443000"
"007660","이수페타시스","KOSPI","전기전자","6630","40","0.61","419323757970"
"005950","이수화학","KOSPI","화학","23850","50","0.21","666835124400"
"015020","이스타코","KOSPI","서비스업","1155","-20","-1.70","49493598000"
"093230","이아이디","KOSPI","유통업","1345","10","0.75","127508533980"
"074610","이엔플러스","KOSPI","기계","3105","-35","-1.11","179285711850"
"102460","이연제약","KOSPI","의약품","22600","-250","-1.09","406767840200"
"084680","이월드","KOSPI","기타제조업","1855","-20","-1.07","263050488015"
"350520","이지스레지던스리츠","KOSPI","서비스업","4595","-45","-0.97","130307845115"
"334890","이지스밸류리츠","KOSPI","서비스업","4835","10","0.21","177663694725"
"000760","이화산업","KOSPI","유통업","15800","-300","-1.86","44240000000"
"014990","인디에프","KOSPI","섬유의복","785","75","10.56","55509701075"
"101140","인바이오젠","KOSPI","유통업","2005","-5","-0.25","107060624100"
"006490","인스코비","KOSPI","통신업","1900","-50","-2.56","208789740300"
"023800","인지컨트롤스","KOSPI","운수장비","7510","40","0.54","115152429630"
"034590","인천도시가스","KOSPI","전기가스업","27600","-450","-1.60","120743210400"
"129260","인터지스","KOSPI","운수창고업","3290","280","9.30","97870505460"
"023810","인팩","KOSPI","운수장비","7670","-60","-0.78","76700000000"
"249420","일동제약","KOSPI","의약품","35750","300","0.85","958217438750"
"000230","일동홀딩스","KOSPI","의약품","28500","-250","-0.87","328901400000"
"013360","일성건설","KOSPI","건설업","3170","15","0.48","171258869600"
"003120","일성신약","KOSPI","의약품","87000","7700","9.71","231420000000"
"003200","일신방직","KOSPI","섬유의복","108500","-500","-0.46","260400000000"
"007110","일신석재","KOSPI","유통업","1425","-15","-1.04","110375669250"
"007570","일양약품","KOSPI","의약품","20950","-200","-0.95","399844660800"
"007575","일양약품우","KOSPI","의약품","24200","-200","-0.82","10770936000"
"008500","일정실업","KOSPI","섬유의복","22300","-1700","-7.08","26760000000"
"081000","일진다이아","KOSPI","화학","21450","-200","-0.92","304653813750"
"020760","일진디스플","KOSPI","전기전자","1715","-45","-2.56","88346065815"
"020150","일진머티리얼즈","KOSPI","전기전자","68800","-1200","-1.71","3172425448000"
"103590","일진전기","KOSPI","전기전자","5380","-140","-2.54","199492498200"
"271940","일진하이솔루스","KOSPI","운수장비","36300","-1100","-2.94","1318168797000"
"015860","일진홀딩스","KOSPI","기타금융","5560","-80","-1.42","274372005480"
"226320","잇츠한불","KOSPI","화학","16500","0","0.00","361833697500"
